94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050507181510305/07/05 18:15:31  5-MIN KDBQ 080015Z AUTO 11011KT 8SM CLR 22/14 A2991 1090 61 2100 110/11 RMK AO2 TSNO
94908KDBQ DBQ20050507182010305/07/05 18:20:31  5-MIN KDBQ 080020Z AUTO 11008KT 8SM CLR 22/14 A2991 1080 61 2100 110/08 RMK AO2 TSNO
94908KDBQ DBQ20050507182510305/07/05 18:25:31  5-MIN KDBQ 080025Z AUTO 11009KT 8SM CLR 22/14 A2991 1080 61 2100 110/09 RMK AO2 TSNO
94908KDBQ DBQ20050507183010305/07/05 18:30:31  5-MIN KDBQ 080030Z AUTO 11010KT 8SM CLR 21/14 A2992 1080 65 2100 110/10 RMK AO2 TSNO
94908KDBQ DBQ20050507183510305/07/05 18:35:31  5-MIN KDBQ 080035Z AUTO 12008KT 7SM CLR 21/14 A2991 1090 65 2100 120/08 RMK AO2 TSNO
94908KDBQ DBQ20050507184010305/07/05 18:40:31  5-MIN KDBQ 080040Z AUTO 12008KT 7SM CLR 21/14 A2992 1080 67 2000 120/08 RMK AO2 TSNO
94908KDBQ DBQ20050507184510305/07/05 18:45:31  5-MIN KDBQ 080045Z AUTO 11008KT 7SM CLR 21/14 A2992 1080 67 2000 110/08 RMK AO2 TSNO
94908KDBQ DBQ20050507185012005/07/05 18:50:31  5-MIN KDBQ 080050Z AUTO 12009KT 7SM CLR 20/14 A2992 1080 67 2000 120/09 RMK AO2 SLP129 T02000139 TSNO
94908KDBQ DBQ20050507185512005/07/05 18:55:31  5-MIN KDBQ 080055Z AUTO 12009KT 7SM CLR 20/14 A2991 1080 67 2000 120/09 RMK AO2 SLP128 T02000139 TSNO
94908KDBQ DBQ20050507190010305/07/05 19:00:31  5-MIN KDBQ 080100Z AUTO 12008KT 7SM CLR 20/14 A2992 1080 67 2000 120/08 RMK AO2 TSNO
94908KDBQ DBQ20050507190510305/07/05 19:05:31  5-MIN KDBQ 080105Z AUTO 12010KT 8SM CLR 21/13 A2992 1080 63 2000 120/10 RMK AO2 TSNO
94908KDBQ DBQ20050507191010305/07/05 19:10:31  5-MIN KDBQ 080110Z AUTO 13008KT 8SM CLR 20/13 A2992 1080 65 2000 130/08 RMK AO2 TSNO
94908KDBQ DBQ20050507191510305/07/05 19:15:31  5-MIN KDBQ 080115Z AUTO 12009KT 7SM CLR 20/13 A2992 1080 65 2000 120/09 RMK AO2 TSNO
94908KDBQ DBQ20050507192010305/07/05 19:20:31  5-MIN KDBQ 080120Z AUTO 12011KT 8SM CLR 19/13 A2992 1080 67 1900 110/11 RMK AO2 TSNO
94908KDBQ DBQ20050507192510305/07/05 19:25:31  5-MIN KDBQ 080125Z AUTO 12009KT 9SM CLR 19/13 A2992 1080 70 1800 120/09 RMK AO2 TSNO
94908KDBQ DBQ20050507193010305/07/05 19:30:31  5-MIN KDBQ 080130Z AUTO 12009KT 9SM CLR 19/13 A2992 1080 67 1900 120/09 RMK AO2 TSNO
94908KDBQ DBQ20050507193510305/07/05 19:35:31  5-MIN KDBQ 080135Z AUTO 12009KT 9SM CLR 19/13 A2992 1080 67 1900 120/09 RMK AO2 TSNO
94908KDBQ DBQ20050507194010305/07/05 19:40:31  5-MIN KDBQ 080140Z AUTO 12009KT 9SM CLR 19/13 A2992 1080 67 1800 120/09 RMK AO2 TSNO
94908KDBQ DBQ20050507194510305/07/05 19:45:31  5-MIN KDBQ 080145Z AUTO 12013KT 9SM CLR 19/13 A2992 1080 67 1800 110/13 RMK AO2 TSNO
94908KDBQ DBQ20050507195012005/07/05 19:50:31  5-MIN KDBQ 080150Z AUTO 12012KT 9SM CLR 19/13 A2992 1080 67 1800 120/12 RMK AO2 SLP131 T01890128 TSNO
94908KDBQ DBQ20050507195512005/07/05 19:55:31  5-MIN KDBQ 080155Z AUTO 12011KT 9SM CLR 19/12 A2992 1080 65 1800 120/11 RMK AO2 SLP131 T01890122 TSNO
94908KDBQ DBQ20050507200010505/07/05 20:00:31  5-MIN KDBQ 080200Z AUTO 12011KT 10SM CLR 18/12 A2992  1080 67 1800 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507200510505/07/05 20:05:31  5-MIN KDBQ 080205Z AUTO 13010KT 10SM CLR 18/12 A2992  1080 67 1800 130/10 RMK AO2 TSNO
94908KDBQ DBQ20050507201010505/07/05 20:10:31  5-MIN KDBQ 080210Z AUTO 12012KT 10SM CLR 18/12 A2992  1080 65 1800 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507201510505/07/05 20:15:31  5-MIN KDBQ 080215Z AUTO 13012KT 10SM CLR 18/12 A2992  1080 65 1800 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507202010505/07/05 20:20:31  5-MIN KDBQ 080220Z AUTO 12013KT 10SM CLR 18/11 A2992  1070 62 1800 120/13 RMK AO2 TSNO
94908KDBQ DBQ20050507202510505/07/05 20:25:31  5-MIN KDBQ 080225Z AUTO 13011KT 10SM CLR 18/11 A2993  1070 62 1800 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050507203010505/07/05 20:30:31  5-MIN KDBQ 080230Z AUTO 13009KT 10SM CLR 18/11 A2993  1070 64 1700 130/09 RMK AO2 TSNO
94908KDBQ DBQ20050507203510505/07/05 20:35:31  5-MIN KDBQ 080235Z AUTO 12011KT 10SM CLR 18/11 A2993  1070 64 1700 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507204010505/07/05 20:40:31  5-MIN KDBQ 080240Z AUTO 12011KT 10SM CLR 17/11 A2993  1070 67 1600 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507204510505/07/05 20:45:31  5-MIN KDBQ 080245Z AUTO 12012KT 10SM CLR 17/11 A2993  1070 67 1600 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507205012805/07/05 20:50:31  5-MIN KDBQ 080250Z AUTO 12012KT 10SM CLR 17/11 A2994  1060 67 1600 120/12 RMK AO2 SLP137 T01720111 56012 TSNO
94908KDBQ DBQ20050507205512805/07/05 20:55:31  5-MIN KDBQ 080255Z AUTO 12012KT 10SM CLR 17/11 A2993  1070 67 1600 120/12 RMK AO2 SLP134 T01720111 53004 TSNO
94908KDBQ DBQ20050507210010505/07/05 21:00:31  5-MIN KDBQ 080300Z AUTO 12011KT 10SM CLR 17/11 A2994  1060 64 1600 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507210510505/07/05 21:05:31  5-MIN KDBQ 080305Z AUTO 12011KT 10SM CLR 17/11 A2994  1060 64 1600 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507211010505/07/05 21:10:31  5-MIN KDBQ 080310Z AUTO 12012KT 10SM CLR 17/11 A2993  1070 67 1600 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507211510505/07/05 21:15:31  5-MIN KDBQ 080315Z AUTO 12011KT 10SM CLR 17/11 A2994  1060 67 1500 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507212010505/07/05 21:20:31  5-MIN KDBQ 080320Z AUTO 12012KT 10SM CLR 17/11 A2994  1060 67 1500 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507212510505/07/05 21:25:31  5-MIN KDBQ 080325Z AUTO 12011KT 10SM CLR 16/11 A2993  1070 69 1500 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507213010505/07/05 21:30:31  5-MIN KDBQ 080330Z AUTO 12011KT 10SM CLR 17/11 A2993  1070 67 1600 120/11 RMK AO2 TSNO
94908KDBQ DBQ20050507213510505/07/05 21:35:31  5-MIN KDBQ 080335Z AUTO 13011KT 10SM CLR 17/11 A2994  1060 67 1500 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050507214010505/07/05 21:40:31  5-MIN KDBQ 080340Z AUTO 13012KT 10SM CLR 17/10 A2994  1060 64 1500 130/12 RMK AO2 TSNO
94908KDBQ DBQ20050507214510505/07/05 21:45:31  5-MIN KDBQ 080345Z AUTO 13011KT 10SM CLR 17/10 A2993  1070 64 1600 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050507215012205/07/05 21:50:31  5-MIN KDBQ 080350Z AUTO 13012KT 10SM CLR 17/10 A2994  1060 64 1500 130/12 RMK AO2 SLP140 T01670100 TSNO
94908KDBQ DBQ20050507215512205/07/05 21:55:31  5-MIN KDBQ 080355Z AUTO 13012KT 10SM CLR 17/10 A2994  1060 64 1500 130/12 RMK AO2 SLP139 T01670100 TSNO
94908KDBQ DBQ20050507220010505/07/05 22:00:31  5-MIN KDBQ 080400Z AUTO 12012KT 10SM CLR 16/10 A2993  1070 67 1500 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507220510505/07/05 22:05:31  5-MIN KDBQ 080405Z AUTO 13012KT 10SM CLR 16/10 A2994  1060 67 1500 120/12 RMK AO2 TSNO
94908KDBQ DBQ20050507221010505/07/05 22:10:31  5-MIN KDBQ 080410Z AUTO 13012KT 10SM CLR 16/10 A2994  1060 67 1500 130/12 RMK AO2 TSNO
94908KDBQ DBQ20050507221510505/07/05 22:15:31  5-MIN KDBQ 080415Z AUTO 13014KT 10SM CLR 16/09 A2994  1060 64 1500 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507222010505/07/05 22:20:31  5-MIN KDBQ 080420Z AUTO 13015KT 10SM CLR 16/09 A2995  1050 64 1500 130/15 RMK AO2 TSNO
94908KDBQ DBQ20050507222510705/07/05 22:25:31  5-MIN KDBQ 080425Z AUTO 13015KT 10SM FEW070 16/09 A2994 1060 64 1500 130/15 RMK AO2 TSNO
94908KDBQ DBQ20050507223010705/07/05 22:30:31  5-MIN KDBQ 080430Z AUTO 13014KT 10SM SCT070 16/09 A2994 1060 64 1500 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507223510705/07/05 22:35:31  5-MIN KDBQ 080435Z AUTO 13013KT 10SM BKN075 16/09 A2995 1050 67 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507224010705/07/05 22:40:31  5-MIN KDBQ 080440Z AUTO 13012KT 10SM BKN075 16/09 A2994 1060 67 1400 130/12 RMK AO2 TSNO
94908KDBQ DBQ20050507224510705/07/05 22:45:31  5-MIN KDBQ 080445Z AUTO 13013KT 10SM BKN070 16/09 A2994 1060 67 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507225012405/07/05 22:50:31  5-MIN KDBQ 080450Z AUTO 13014KT 10SM OVC070 16/09 A2995 1050 67 1400 130/14 RMK AO2 SLP141 T01560094 TSNO
94908KDBQ DBQ20050507225512405/07/05 22:55:31  5-MIN KDBQ 080455Z AUTO 13014KT 10SM OVC070 16/09 A2994 1060 67 1400 130/14 RMK AO2 SLP137 T01560094 TSNO
94908KDBQ DBQ20050507230010705/07/05 23:00:31  5-MIN KDBQ 080500Z AUTO 13014KT 10SM OVC070 16/09 A2994 1060 67 1400 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507230510705/07/05 23:05:31  5-MIN KDBQ 080505Z AUTO 13014KT 10SM OVC070 16/09 A2995 1050 67 1400 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507231010705/07/05 23:10:31  5-MIN KDBQ 080510Z AUTO 13014KT 10SM OVC075 16/09 A2994 1060 67 1400 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507231510705/07/05 23:15:31  5-MIN KDBQ 080515Z AUTO 13013KT 10SM OVC075 16/09 A2994 1060 67 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507232011405/07/05 23:20:31  5-MIN KDBQ 080520Z AUTO 13012KT 10SM BKN070 OVC085 15/09 A2995 1050 69 1300 130/12 RMK AO2 TSNO
94908KDBQ DBQ20050507232510705/07/05 23:25:31  5-MIN KDBQ 080525Z AUTO 13013KT 10SM OVC070 15/09 A2993 1070 69 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507233010705/07/05 23:30:31  5-MIN KDBQ 080530Z AUTO 13013KT 10SM OVC070 15/09 A2993 1070 69 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507233510705/07/05 23:35:31  5-MIN KDBQ 080535Z AUTO 13012KT 10SM OVC075 15/09 A2994 1060 69 1300 130/12 RMK AO2 TSNO
94908KDBQ DBQ20050507234010705/07/05 23:40:31  5-MIN KDBQ 080540Z AUTO 13013KT 10SM BKN075 15/09 A2993 1070 69 1400 130/13 RMK AO2 TSNO
94908KDBQ DBQ20050507234510705/07/05 23:45:31  5-MIN KDBQ 080545Z AUTO 13014KT 10SM BKN075 15/09 A2993 1070 69 1400 130/14 RMK AO2 TSNO
94908KDBQ DBQ20050507235015305/07/05 23:50:31  5-MIN KDBQ 080550Z AUTO 13012KT 10SM SCT075 14/09 A2994 1060 69 1300 130/12 RMK AO2 SLP137 T01440089 10222 20144 402390111 53004  TSNO
94908KDBQ DBQ20050507235515305/07/05 23:55:31  5-MIN KDBQ 080555Z AUTO 13012KT 10SM BKN080 14/09 A2993 1070 69 1300 130/12 RMK AO2 SLP133 T01440089 10222 20144 402390111 50000  TSNO
94908KDBQ DBQ20050508000010705/08/05 00:00:38  5-MIN KDBQ 080600Z AUTO 14011KT 10SM SCT080 14/09 A2993 1070 69 1300 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050508000510705/08/05 00:05:31  5-MIN KDBQ 080605Z AUTO 15010KT 10SM FEW080 14/09 A2993 1070 72 1300 150/10 RMK AO2 TSNO
94908KDBQ DBQ20050508001010705/08/05 00:10:31  5-MIN KDBQ 080610Z AUTO 15011KT 10SM FEW085 14/09 A2993 1070 72 1300 150/11 RMK AO2 TSNO
94908KDBQ DBQ20050508001510705/08/05 00:15:32  5-MIN KDBQ 080615Z AUTO 15011KT 10SM FEW085 14/09 A2993 1070 71 1200 150/11 RMK AO2 TSNO
94908KDBQ DBQ20050508002010705/08/05 00:20:31  5-MIN KDBQ 080620Z AUTO 14012KT 10SM FEW085 14/09 A2993 1070 69 1300 140/12 RMK AO2 TSNO
94908KDBQ DBQ20050508002510705/08/05 00:25:31  5-MIN KDBQ 080625Z AUTO 14011KT 10SM FEW085 14/09 A2993 1070 69 1300 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508003010705/08/05 00:30:31  5-MIN KDBQ 080630Z AUTO 14013KT 10SM FEW085 14/09 A2994 1060 69 1300 140/13 RMK AO2 TSNO
94908KDBQ DBQ20050508003510705/08/05 00:35:31  5-MIN KDBQ 080635Z AUTO 14012KT 10SM FEW085 14/09 A2993 1070 71 1200 140/12 RMK AO2 TSNO
94908KDBQ DBQ20050508004010705/08/05 00:40:31  5-MIN KDBQ 080640Z AUTO 14011KT 10SM FEW090 14/09 A2993 1070 71 1200 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050508004510705/08/05 00:45:31  5-MIN KDBQ 080645Z AUTO 14010KT 10SM SCT090 14/09 A2993 1070 74 1200 140/10 RMK AO2 TSNO
94908KDBQ DBQ20050508005012405/08/05 00:50:31  5-MIN KDBQ 080650Z AUTO 14010KT 10SM SCT090 14/09 A2992 1080 74 1200 140/10 RMK AO2 SLP131 T01390094 TSNO
94908KDBQ DBQ20050508005512405/08/05 00:55:31  5-MIN KDBQ 080655Z AUTO 14010KT 10SM FEW090 14/09 A2992 1080 74 1200 140/10 RMK AO2 SLP131 T01390094 TSNO
94908KDBQ DBQ20050508010010705/08/05 01:00:31  5-MIN KDBQ 080700Z AUTO 14011KT 10SM FEW090 14/09 A2992 1080 71 1200 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508010510705/08/05 01:05:31  5-MIN KDBQ 080705Z AUTO 14011KT 10SM FEW090 14/09 A2992 1080 71 1200 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508011010705/08/05 01:10:31  5-MIN KDBQ 080710Z AUTO 14012KT 10SM FEW090 14/09 A2992 1080 71 1200 140/12 RMK AO2 TSNO
94908KDBQ DBQ20050508011510505/08/05 01:15:31  5-MIN KDBQ 080715Z AUTO 14012KT 10SM CLR 14/09 A2992  1080 71 1200 140/12 RMK AO2 TSNO
94908KDBQ DBQ20050508012010505/08/05 01:20:31  5-MIN KDBQ 080720Z AUTO 14012KT 10SM CLR 14/09 A2991  1080 71 1200 140/12 RMK AO2 TSNO
94908KDBQ DBQ20050508012510505/08/05 01:25:31  5-MIN KDBQ 080725Z AUTO 14011KT 10SM CLR 14/09 A2991  1090 71 1200 130/11 RMK AO2 TSNO
94908KDBQ DBQ20050508013010505/08/05 01:30:31  5-MIN KDBQ 080730Z AUTO 14011KT 10SM CLR 14/09 A2991  1080 71 1200 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508013510505/08/05 01:35:31  5-MIN KDBQ 080735Z AUTO 14010KT 10SM CLR 14/09 A2991  1090 71 1200 140/10 RMK AO2 TSNO
94908KDBQ DBQ20050508014010505/08/05 01:40:31  5-MIN KDBQ 080740Z AUTO 14011KT 10SM CLR 14/09 A2991  1090 71 1200 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508014510505/08/05 01:45:31  5-MIN KDBQ 080745Z AUTO 14011KT 10SM CLR 14/09 A2991  1090 71 1300 140/11 RMK AO2 TSNO
94908KDBQ DBQ20050508015012205/08/05 01:50:31  5-MIN KDBQ 080750Z AUTO 14011KT 10SM CLR 13/09 A2991  1090 74 1200 140/11 RMK AO2 SLP125 T01330089 TSNO
94908KDBQ DBQ20050508015512205/08/05 01:55:31  5-MIN KDBQ 080755Z AUTO 14010KT 10SM CLR 13/09 A2992  1080 74 1200 140/10 RMK AO2 SLP128 T01330089 TSNO
94908KDBQ DBQ20050508020010505/08/05 02:00:31  5-MIN KDBQ 080800Z AUTO 14010KT 10SM CLR 13/09 A2990  1090 74 1200 140/10 RMK AO2 TSNO
94908KDBQ DBQ20050508020510505/08/05 02:05:31  5-MIN KDBQ 080805Z AUTO 14010KT 10SM CLR 13/09 A2991  1090 74 1200 140/10 RMK AO2 TSNO
94908KDBQ DBQ20050508021010505/08/05 02:10:31  5-MIN KDBQ 080810Z AUTO 14009KT 10SM CLR 13/09 A2990  1090 74 1200 140/09 RMK AO2 TSNO
94908KDBQ DBQ20050508021510505/08/05 02:15:31  5-MIN KDBQ 080815Z AUTO 14009KT 10SM CLR 13/09 A2991  1090 74 1200 140/09 RMK AO2 TSNO
94908KDBQ DBQ20050508022010505/08/05 02:20:31  5-MIN KDBQ 080820Z AUTO 14008KT 10SM CLR 13/09 A2991  1090 74 1200 140/08 RMK AO2 TSNO
94908KDBQ DBQ20050508022510505/08/05 02:25:31  5-MIN KDBQ 080825Z AUTO 15007KT 10SM CLR 13/09 A2991  1090 74 1200 150/07 RMK AO2 TSNO
94908KDBQ DBQ20050508023010505/08/05 02:30:31  5-MIN KDBQ 080830Z AUTO 16006KT 10SM CLR 13/09 A2991  1090 74 1200 160/06 RMK AO2 TSNO
94908KDBQ DBQ20050508023510505/08/05 02:35:31  5-MIN KDBQ 080835Z AUTO VRB05KT 10SM CLR 13/08 A2991  1090 71 1200 VRB/05 RMK AO2 TSNO
94908KDBQ DBQ20050508024010505/08/05 02:40:31  5-MIN KDBQ 080840Z AUTO VRB05KT 10SM CLR 13/09 A2991  1090 77 1100 VRB/05 RMK AO2 TSNO
94908KDBQ DBQ20050508024510505/08/05 02:45:31  5-MIN KDBQ 080845Z AUTO 22005KT 10SM CLR 13/09 A2991  1090 77 1100 220/05 RMK AO2 TSNO
94908KDBQ DBQ20050508025013005/08/05 02:50:31  5-MIN KDBQ 080850Z AUTO 21005KT 10SM FEW110 13/08 A2992 1070 71 1200 210/05 RMK AO2 SLP130 T01330083 50000 TSNO
94908KDBQ DBQ20050508025513005/08/05 02:55:31  5-MIN KDBQ 080855Z AUTO 21005KT 10SM SCT100 13/09 A2991 1090 74 1200 210/05 RMK AO2 SLP126 T01330089 58005 TSNO
94908KDBQ DBQ20050508030010705/08/05 03:00:31  5-MIN KDBQ 080900Z AUTO 22005KT 10SM BKN100 13/09 A2991 1090 74 1200 220/05 RMK AO2 TSNO
94908KDBQ DBQ20050508030510705/08/05 03:05:31  5-MIN KDBQ 080905Z AUTO 22006KT 10SM BKN100 13/09 A2991 1090 77 1100 210/06 RMK AO2 TSNO
94908KDBQ DBQ20050508031010705/08/05 03:10:31  5-MIN KDBQ 080910Z AUTO 20006KT 10SM BKN100 13/09 A2991 1090 77 1100 200/06 RMK AO2 TSNO
94908KDBQ DBQ20050508031510705/08/05 03:15:31  5-MIN KDBQ 080915Z AUTO 20008KT 10SM SCT100 13/09 A2991 1090 77 1100 200/08 RMK AO2 TSNO
94908KDBQ DBQ20050508032010705/08/05 03:20:31  5-MIN KDBQ 080920Z AUTO 18008KT 10SM SCT095 13/09 A2991 1090 77 1100 180/08 RMK AO2 TSNO
94908KDBQ DBQ20050508032510705/08/05 03:25:31  5-MIN KDBQ 080925Z AUTO 18009KT 10SM SCT100 13/08 A2991 1090 74 1100 180/09 RMK AO2 TSNO
94908KDBQ DBQ20050508033010705/08/05 03:30:31  5-MIN KDBQ 080930Z AUTO 21007KT 10SM BKN100 13/09 A2991 1080 77 1100 210/07 RMK AO2 TSNO
94908KDBQ DBQ20050508033510705/08/05 03:35:31  5-MIN KDBQ 080935Z AUTO 23006KT 10SM BKN100 12/09 A2992 1080 80 1000 230/06 RMK AO2 TSNO
94908KDBQ DBQ20050508034010705/08/05 03:40:31  5-MIN KDBQ 080940Z AUTO 22007KT 10SM SCT100 12/09 A2992 1080 80 1000 220/07 RMK AO2 TSNO
94908KDBQ DBQ20050508034510705/08/05 03:45:31  5-MIN KDBQ 080945Z AUTO 21006KT 10SM BKN100 12/09 A2992 1080 80 1000 210/06 RMK AO2 TSNO
94908KDBQ DBQ20050508035012405/08/05 03:50:31  5-MIN KDBQ 080950Z AUTO 21006KT 10SM BKN110 12/09 A2992 1080 80 1000 210/06 RMK AO2 SLP127 T01220089 TSNO
94908KDBQ DBQ20050508035512405/08/05 03:55:31  5-MIN KDBQ 080955Z AUTO 20007KT 9SM BKN110 12/09 A2992  1080 83 1000 200/07 RMK AO2 SLP128 T01220094 TSNO
94908KDBQ DBQ20050508040010705/08/05 04:00:31  5-MIN KDBQ 081000Z AUTO 20009KT 9SM BKN110 13/09 A2992  1080 80 1100 200/09 RMK AO2 TSNO
94908KDBQ DBQ20050508040510705/08/05 04:05:31  5-MIN KDBQ 081005Z AUTO 20009KT 10SM OVC110 13/09 A2992 1080 77 1200 200/09 RMK AO2 TSNO
94908KDBQ DBQ20050508041013005/08/05 04:10:31  5-MIN KDBQ 081010Z AUTO 21009KT 9SM -RA BKN100 OVC120  13/09 A2992 1080 77 1200 210/09 RMK AO2 RAB09 P0000 TSNO
94908KDBQ DBQ20050508041513005/08/05 04:15:31  5-MIN KDBQ 081015Z AUTO 20008KT 9SM -RA FEW075 OVC110  13/10 A2991 1080 80 1200 200/08 RMK AO2 RAB09 P0000 TSNO
94908KDBQ DBQ20050508042013805/08/05 04:20:31  5-MIN KDBQ 081020Z AUTO 20010KT 10SM -RA SCT065 BKN100  OVC120 13/10 A2992 1080 80 1200 200/10 RMK AO2 RAB09 P0000 TSNO
94908KDBQ DBQ20050508042513105/08/05 04:25:31  5-MIN KDBQ 081025Z AUTO 20008KT 10SM -RA FEW065 BKN100  13/10 A2991 1080 80 1200 200/08 RMK AO2 RAB09 P0000 TSNO
94908KDBQ DBQ20050508043012905/08/05 04:30:31  5-MIN KDBQ 081030Z AUTO 21009KT 10SM SCT070 BKN100 14/11 A2991 1080 80 1200 210/09 RMK AO2 RAB09E29 P0000 TSNO
94908KDBQ DBQ20050508043512905/08/05 04:35:31  5-MIN KDBQ 081035Z AUTO 22010KT 10SM BKN070 OVC100 14/11 A2991 1080 80 1300 220/10 RMK AO2 RAB09E29 P0000 TSNO
94908KDBQ DBQ20050508044012905/08/05 04:40:31  5-MIN KDBQ 081040Z AUTO 21011KT 10SM BKN070 BKN110 15/11 A2991 1080 77 1400 210/11 RMK AO2 RAB09E29 P0000 TSNO
94908KDBQ DBQ20050508044512905/08/05 04:45:31  5-MIN KDBQ 081045Z AUTO 21009KT 10SM SCT070 BKN110 15/11 A2992 1080 77 1400 200/09 RMK AO2 RAB09E29 P0000 TSNO
94908KDBQ DBQ20050508045014605/08/05 04:50:31  5-MIN KDBQ 081050Z AUTO 19009KT 10SM FEW075 OVC100 14/12 A2992 1080 83 1300 190/09 RMK AO2 RAB09E29 SLP128 P0000 T01440117 TSNO
94908KDBQ DBQ20050508045515505/08/05 04:55:31  5-MIN KDBQ 081055Z AUTO 20010KT 10SM FEW075 BKN100  OVC110 14/11 A2992 1080 80 1300 200/10 RMK AO2 RAB09E29 SLP128 P0000  T01440111 TSNO
94908KDBQ DBQ20050508050010305/08/05 05:00:31  5-MIN KDBQ 081100Z 20008KT 9SM FEW075 OVC100 14/12 A2992 1080 83 1300 200/08 RMK AO2
94908KDBQ DBQ20050508050510305/08/05 05:05:31  5-MIN KDBQ 081105Z 19008KT 9SM BKN100 OVC110 14/12 A2992 1080 83 1300 190/08 RMK AO2
94908KDBQ DBQ20050508051009705/08/05 05:10:31  5-MIN KDBQ 081110Z 19010KT 9SM OVC095 14/12 A2992 1080  83 1300 190/10 RMK AO2
94908KDBQ DBQ20050508051509705/08/05 05:15:31  5-MIN KDBQ 081115Z 18008KT 8SM OVC095 14/12 A2992 1080  83 1300 180/08 RMK AO2
94908KDBQ DBQ20050508052009705/08/05 05:20:31  5-MIN KDBQ 081120Z 19009KT 8SM OVC095 14/12 A2992 1080  83 1300 190/09 RMK AO2
94908KDBQ DBQ20050508052510305/08/05 05:25:31  5-MIN KDBQ 081125Z 17009KT 8SM BKN100 OVC120 14/12 A2992 1080 83 1300 170/09 RMK AO2
94908KDBQ DBQ20050508053009705/08/05 05:30:31  5-MIN KDBQ 081130Z 18009KT 8SM OVC100 14/12 A2992 1080  83 1300 180/09 RMK AO2
94908KDBQ DBQ20050508053509705/08/05 05:35:31  5-MIN KDBQ 081135Z 18009KT 8SM BKN110 14/12 A2992 1080  86 1300 180/09 RMK AO2
